rank,name,affinity_kcal_mol
1,Platensimycin,-8.963
2,Quercetin,-8.837
3,Luteolin,-8.657
4,Catechin,-8.411
5,Resveratrol,-8.395
6,Kaempferol,-8.365
7,Apigenin,-8.339
8,Piperin,-8.303
9,Platencin,-8.302
10,Capsaicin,-8.249
11,Naringenin,-8.151
12,Curcumin,-8.024
13,Berberine,-7.509
14,Cerulenin,-7.458
15,Farnesol,-7.245
16,Caffeic_acid,-7.086
17,Coumarin,-6.727
18,Geraniol,-6.206
19,Carvacrol,-6.188
20,Thymol,-6.07
21,Cinnamaldehyde,-6.053
22,Terpinen-4-ol,-5.986
23,Eugenol,-5.918
24,Thiolactomycin,-5.523
25,Linalool,-5.16
26,Oleanolic_acid,-4.286
27,Allicin,-4.052
28,Ursolic_acid,-3.607
